Regular Season,Thu,28-Nov-13,AT&T Stadium,Dallas Cowboys,Oakland Raiders,31,24,352,305,87572
Regular Season,Thu,28-Nov-13,M&T Bank Stadium,Baltimore Ravens,Pittsburgh Steelers,22,20,311,329,71005
Regular Season,Thu,28-Nov-13,Ford Field,Detroit Lions,Green Bay Packers,40,10,561,126,64934
Regular Season,Sun,1-Dec-13,Arrowhead Stadium,Denver Broncos,Kansas City Chiefs,35,28,535,452,77065
Regular Season,Sun,1-Dec-13,MetLife Stadium,Miami Dolphins,New York Jets,23,3,453,177,76957
Regular Season,Sun,1-Dec-13,FedExField,New York Giants,Washington Redskins,24,17,286,323,75220
Regular Season,Sun,1-Dec-13,Bank of America Stadium,Carolina Panthers,Tampa Bay Buccaneers,27,6,426,206,72795
Regular Season,Sun,1-Dec-13,Reliant Stadium,New England Patriots,Houston Texans,34,31,453,385,71769
Regular Season,Sun,1-Dec-13,Candlestick Park,San Francisco 49ers,St. Louis Rams,23,13,338,312,69732
Regular Season,Sun,1-Dec-13,FirstEnergy Stadium,Jacksonville Jaguars,Cleveland Browns,32,28,314,439,69654
Regular Season,Sun,1-Dec-13,Lincoln Financial Field,Philadelphia Eagles,Arizona Cardinals,24,21,307,350,69144
Regular Season,Sun,1-Dec-13,Lucas Oil Stadium,Indianapolis Colts,Tennessee Titans,22,14,264,347,65502
Regular Season,Sun,1-Dec-13,Mall of America Field,Minnesota Vikings,Chicago Bears,23,20,496,480,64134
Regular Season,Sun,1-Dec-13,Qualcomm Stadium,Cincinnati Bengals,San Diego Chargers,17,10,354,334,61536
Regular Season,Sun,1-Dec-13,Rogers Centre,Atlanta Falcons,Buffalo Bills,34,31,423,405,38969
Regular Season,Mon,2-Dec-13,CenturyLink Field,Seattle Seahawks,New Orleans Saints,34,7,429,188,68387
Regular Season,Thu,5-Dec-13,EverBank Field,Jacksonville Jaguars,Houston Texans,27,20,281,406,60414
Regular Season,Sun,8-Dec-13,Lambeau Field,Green Bay Packers,Atlanta Falcons,22,21,334,285,77550
Regular Season,Sun,8-Dec-13,MetLife Stadium,New York Jets,Oakland Raiders,37,27,352,383,76957
Regular Season,Sun,8-Dec-13,Sports Authority Field at Mile High,Denver Broncos,Tennessee Titans,51,28,551,254,76554
Regular Season,Sun,8-Dec-13,Louisiana Superdome,New Orleans Saints,Carolina Panthers,31,13,373,239,73089
Regular Season,Sun,8-Dec-13,M&T Bank Stadium,Baltimore Ravens,Minnesota Vikings,29,26,325,379,70921
Regular Season,Sun,8-Dec-13,Candlestick Park,San Francisco 49ers,Seattle Seahawks,19,17,318,264,69732
Regular Season,Sun,8-Dec-13,Lincoln Financial Field,Philadelphia Eagles,Detroit Lions,34,20,478,231,69144
Regular Season,Sun,8-Dec-13,Gillette Stadium,New England Patriots,Cleveland Browns,27,26,484,494,68756
Regular Season,Sun,8-Dec-13,Qualcomm Stadium,San Diego Chargers,New York Giants,37,14,388,333,65132
Regular Season,Sun,8-Dec-13,Paul Brown Stadium,Cincinnati Bengals,Indianapolis Colts,42,28,430,389,62507
Regular Season,Sun,8-Dec-13,University of Phoenix Stadium,Arizona Cardinals,St. Louis Rams,30,10,369,257,60643
Regular Season,Sun,8-Dec-13,Raymond James Stadium,Tampa Bay Buccaneers,Buffalo Bills,27,6,246,214,59194
Regular Season,Sun,8-Dec-13,FedExField,Kansas City Chiefs,Washington Redskins,45,10,346,257,56247
Regular Season,Sun,8-Dec-13,Heinz Field,Miami Dolphins,Pittsburgh Steelers,34,28,367,412,52489
Regular Season,Mon,9-Dec-13,Soldier Field,Chicago Bears,Dallas Cowboys,45,28,490,328,62229
Regular Season,Thu,12-Dec-13,Sports Authority Field at Mile High,San Diego Chargers,Denver Broncos,27,20,337,295,76497
Regular Season,Sun,15-Dec-13,AT&T Stadium,Green Bay Packers,Dallas Cowboys,37,36,433,466,91054
Regular Season,Sun,15-Dec-13,MetLife Stadium,Seattle Seahawks,New York Giants,23,0,327,181,79691
Regular Season,Sun,15-Dec-13,Bank of America Stadium,Carolina Panthers,New York Jets,30,20,392,297,73251
Regular Season,Sun,15-Dec-13,Sun Life Stadium,Miami Dolphins,New England Patriots,24,20,378,453,71863
Regular Season,Sun,15-Dec-13,FirstEnergy Stadium,Chicago Bears,Cleveland Browns,38,31,440,366,71513
Regular Season,Sun,15-Dec-13,Georgia Dome,Atlanta Falcons,Washington Redskins,27,26,243,476,70069
Regular Season,Sun,15-Dec-13,LP Field,Arizona Cardinals,Tennessee Titans,37,34,360,460,69143
Regular Season,Sun,15-Dec-13,Lucas Oil Stadium,Indianapolis Colts,Houston Texans,25,3,331,239,65470
Regular Season,Sun,15-Dec-13,Raymond James Stadium,San Francisco 49ers,Tampa Bay Buccaneers,33,14,376,183,64142
Regular Season,Sun,15-Dec-13,Mall of America Field,Minnesota Vikings,Philadelphia Eagles,48,30,455,475,64087
Regular Season,Sun,15-Dec-13,EverBank Field,Buffalo Bills,Jacksonville Jaguars,27,20,366,354,60085
Regular Season,Sun,15-Dec-13,Edward Jones Dome,St. Louis Rams,New Orleans Saints,27,16,302,432,58442
Regular Season,Sun,15-Dec-13,O.co Coliseum,Kansas City Chiefs,Oakland Raiders,56,31,384,461,49571
Regular Season,Sun,15-Dec-13,Heinz Field,Pittsburgh Steelers,Cincinnati Bengals,30,20,290,279,45873
Regular Season,Mon,16-Dec-13,Ford Field,Baltimore Ravens,Detroit Lions,18,16,305,349,64742
Regular Season,Sun,22-Dec-13,FedExField,Dallas Cowboys,Washington Redskins,24,23,309,297,80411
Regular Season,Sun,22-Dec-13,Lambeau Field,Pittsburgh Steelers,Green Bay Packers,38,31,343,370,77999
Regular Season,Sun,22-Dec-13,MetLife Stadium,New York Jets,Cleveland Browns,24,13,422,283,76957
Regular Season,Sun,22-Dec-13,Arrowhead Stadium,Indianapolis Colts,Kansas City Chiefs,23,7,367,287,75396
Regular Season,Sun,22-Dec-13,Bank of America Stadium,Carolina Panthers,New Orleans Saints,17,13,222,365,73825
Regular Season,Sun,22-Dec-13,Reliant Stadium,Denver Broncos,Houston Texans,37,13,511,240,71761
Regular Season,Sun,22-Dec-13,M&T Bank Stadium,New England Patriots,Baltimore Ravens,41,7,300,358,71433
Regular Season,Sun,22-Dec-13,Lincoln Financial Field,Philadelphia Eagles,Chicago Bears,54,11,514,257,69144
Regular Season,Sun,22-Dec-13,CenturyLink Field,Arizona Cardinals,Seattle Seahawks,17,10,307,192,68266
Regular Season,Sun,22-Dec-13,Qualcomm Stadium,San Diego Chargers,Oakland Raiders,26,13,344,265,65675
Regular Season,Sun,22-Dec-13,Ford Field,New York Giants,Detroit Lions,23,20,279,355,63996
Regular Season,Sun,22-Dec-13,Paul Brown Stadium,Cincinnati Bengals,Minnesota Vikings,42,14,426,209,61555
Regular Season,Sun,22-Dec-13,EverBank Field,Tennessee Titans,Jacksonville Jaguars,20,16,346,289,60559
Regular Season,Sun,22-Dec-13,Edward Jones Dome,St. Louis Rams,Tampa Bay Buccaneers,23,13,277,170,54423
Regular Season,Sun,22-Dec-13,Ralph Wilson Stadium,Buffalo Bills,Miami Dolphins,19,0,390,103,54305
Regular Season,Mon,23-Dec-13,Candlestick Park,San Francisco 49ers,Atlanta Falcons,34,24,379,402,69732
Regular Season,Sun,29-Dec-13,AT&T Stadium,Philadelphia Eagles,Dallas Cowboys,24,22,366,414,91166
Regular Season,Sun,29-Dec-13,MetLife Stadium,New York Giants,Washington Redskins,20,6,278,251,80177
Regular Season,Sun,29-Dec-13,Louisiana Superdome,New Orleans Saints,Tampa Bay Buccaneers,42,17,468,290,73150
Regular Season,Sun,29-Dec-13,Georgia Dome,Carolina Panthers,Atlanta Falcons,21,20,283,307,70427
Regular Season,Sun,29-Dec-13,Sun Life Stadium,New York Jets,Miami Dolphins,20,7,374,296,70296
